date,price,returns,regime,signal,kama,kama_filter,Regime_0,Regime_1,Regime_2,Regime_3
2002-01-17,1138.88,0.009980448614935966,1,0.0,1148.7687816700532,1.1436501146737128,0.0,1.0,0.0,0.0
2002-01-18,1127.58,-0.009971580025263549,1,0.0,1145.7194023365503,1.3745928138201584,0.0,1.0,0.0,0.0
2002-01-22,1119.31,-0.007361319285975831,1,0.0,1141.875355896465,1.6445825928731035,0.0,1.0,0.0,0.0
2002-01-23,1128.18,0.007893290784849682,1,0.0,1140.808289525158,1.6617277006698261,0.0,1.0,0.0,0.0
2002-01-24,1132.15,0.003512765023092612,1,0.0,1140.3934152472643,1.6635311240021895,0.0,1.0,0.0,0.0
2002-01-25,1133.28,0.0009976031867813262,1,0.0,1140.0451460327226,1.6629407995949614,0.0,1.0,0.0,0.0
2002-01-28,1133.06,-0.0001941456274794362,1,0.0,1139.8651819401944,1.6504475823657543,0.0,1.0,0.0,0.0
2002-01-29,1100.64,-0.029030108600128557,1,0.0,1136.7140660162493,1.4591209524270414,0.0,1.0,0.0,0.0
2002-01-30,1113.57,0.011679241784399608,1,0.0,1135.328773138918,1.4644517129117374,0.0,1.0,0.0,0.0
2002-01-31,1130.2,0.014823537633639638,1,0.0,1135.2965129781558,1.449346373662109,0.0,1.0,0.0,0.0
2002-02-01,1122.2,-0.007103563878871455,1,0.0,1134.9556289101313,1.3859471898520443,0.0,1.0,0.0,0.0
2002-02-04,1094.44,-0.025048227408907664,1,0.0,1132.8024006483602,1.3034107770401382,0.0,1.0,0.0,0.0
2002-02-05,1090.02,-0.004046772229255424,1,0.0,1130.8044636203647,1.226817986670492,0.0,1.0,0.0,0.0
2002-02-06,1083.51,-0.005990273395553913,1,0.0,1126.5341948343382,1.3738130012813285,0.0,1.0,0.0,0.0
2002-02-07,1080.17,-0.0030873351447278097,1,0.0,1121.1547477983972,1.6124914080919368,0.0,1.0,0.0,0.0
2002-02-08,1096.22,0.014749462152985338,1,0.0,1119.7366769349833,1.567451916206163,0.0,1.0,0.0,0.0
2002-02-11,1111.94,0.014238339228860752,1,0.0,1119.5542440245724,1.5670128645388202,0.0,1.0,0.0,0.0
2002-02-12,1107.5,-0.004001014600982344,1,0.0,1119.4332489609867,1.5938017666569047,0.0,1.0,0.0,0.0
2002-02-13,1118.51,0.009892219516300038,1,0.0,1119.4256644411041,1.5950988936520751,0.0,1.0,0.0,0.0
2002-02-14,1116.48,-0.0018165634371811734,1,0.0,1119.3613775270874,1.6306864100083007,0.0,1.0,0.0,0.0
2002-02-15,1104.18,-0.011077900973251786,1,0.0,1118.926378439678,1.6388578750423688,0.0,1.0,0.0,0.0
2002-02-19,1083.34,-0.019054116542265298,1,0.0,1118.2905861767329,1.6067000959955156,0.0,1.0,0.0,0.0
2002-02-20,1097.98,0.013423266484442031,1,0.0,1118.0476709601028,1.5141369413322354,0.0,1.0,0.0,0.0
2002-02-21,1080.95,-0.015631843866860784,1,0.0,1117.8240098909366,1.5294489797970248,0.0,1.0,0.0,0.0
2002-02-22,1089.84,0.008190612357331872,1,0.0,1117.473760439358,1.5311493817535193,0.0,1.0,0.0,0.0
2002-02-25,1109.43,0.017815473441841867,1,0.0,1117.3432004036333,1.5378781809798345,0.0,1.0,0.0,0.0
2002-02-26,1109.38,-4.5069203769898536e-05,1,0.0,1117.294221492918,1.5424319918799314,0.0,1.0,0.0,0.0
2002-02-27,1109.89,0.0004596106007630496,1,0.0,1117.2491974521424,1.4833050845778306,0.0,1.0,0.0,0.0
2002-02-28,1106.73,-0.002851189776065688,1,0.0,1117.054242125536,1.4897684021895643,0.0,1.0,0.0,0.0
2002-03-01,1131.78,0.022381893065113623,1,0.0,1117.3428447507472,1.5014423373499926,0.0,1.0,0.0,0.0
2002-03-04,1153.84,0.01930389568956592,1,0.0,1120.4411501456918,1.7456525333809645,0.0,1.0,0.0,0.0
2002-03-05,1146.14,-0.006695735413123849,1,0.0,1124.213773404607,1.9780416375622363,0.0,1.0,0.0,0.0
2002-03-06,1162.77,0.014405314696167792,0,1.0,1130.0128609491492,2.3801247625110675,1.0,0.0,0.0,0.0
2002-03-07,1157.54,-0.004508025959575335,0,1.0,1136.571744364563,2.589577812371379,1.0,0.0,0.0,0.0
2002-03-08,1164.31,0.005831573259033718,0,1.0,1143.0852635603085,2.532837783681631,1.0,0.0,0.0,0.0
2002-03-11,1168.26,0.0033868254978282053,0,1.0,1148.2587964568718,2.6159068686821096,1.0,0.0,0.0,0.0
2002-03-12,1165.58,-0.0022966451667549848,0,1.0,1151.3951556977015,2.6137617172807706,1.0,0.0,0.0,0.0
2002-03-13,1154.09,-0.009906662560429602,0,1.0,1151.6688196602588,2.6016097246869685,1.0,0.0,0.0,0.0
2002-03-14,1153.04,-0.0009102218535534945,0,1.0,1151.823877651318,2.596530736461981,1.0,0.0,0.0,0.0
