date,Regime-Aware MV,Benchmark (Standard MV)
2019-01-02,0.004596663539090092,0.004019188383248999
2019-01-03,-0.017776063458867286,-0.03267045454545457
2019-01-04,0.03682227615455945,0.042784674943265204
2019-01-07,0.016831205048798148,0.011905523907060234
2019-01-08,0.014997547061355173,0.009045480422544168
2019-01-09,0.008180198840173158,0.00814944834503506
2019-01-10,0.005553471250136908,0.002860340753637615
2019-01-11,0.00043158070503804334,-0.003658234126984182
2019-01-14,-0.009376547051391302,-0.008836890907959362
2019-01-15,0.008436643290530902,0.0195265900671815
2019-01-16,0.006424554768739241,-0.0001847518167261664
2019-01-17,0.008890934780140981,0.007884200800739151
2019-01-18,0.011924198989290981,0.009900385014972814
2019-01-22,-0.014762223747045155,-0.020030257186081753
2019-01-23,-0.0005829742601233715,0.0012967765839200236
2019-01-24,0.00619715127136908,0.006475485661424414
2019-01-25,0.012667120520848686,0.011948529411764717
2019-01-28,-0.004795121430206748,-0.012352406902815579
2019-01-29,-0.0016492936308039553,-0.00944148120900023
2019-01-30,0.0110177064880072,0.025437890697530562
2019-01-31,0.008133131762168901,0.014968614196040553
2019-02-01,0.0013886778480000895,-0.004222169362511958
2019-02-04,0.011109435806395515,0.012421618393550379
2019-02-05,0.0015027026831365721,0.008847991505928072
2019-02-06,-0.0011180766735218756,-0.002981932994211456
2019-02-07,-0.009109248303462119,-0.013429509734928624
2019-02-08,-0.002700116849094717,0.001961600190215849
2019-02-11,-0.0024386191830655427,-0.0009492168960607552
2019-02-12,0.010472894148790757,0.014786223277909679
2019-02-13,-0.0046451064149457145,0.0007022060974897243
2019-02-14,0.0019583843329253896,0.001227998362668845
2019-02-15,-0.001710236989982843,0.004205116224740076
2019-02-19,0.010279001468428858,0.0019774339886007297
2019-02-20,0.0043604651162789665,-0.00017413512885999558
2019-02-21,-0.0021707670043416014,-0.003657474600870849
2019-02-22,0.011360889533478472,0.007400069921920329
2019-02-25,0.013384321223709245,0.003643935450286403
2019-02-26,-0.0030660377358489024,0.0010373443983400146
2019-02-27,-0.007806955287438019,-0.0006332757628093575
2019-02-28,-0.007629947544110613,-0.002304280200472467
2019-03-01,0.001201345506967939,0.006928806513078143
2019-03-04,0.0035997120230382112,0.00017202821262694894
2019-03-05,0.011716881874701091,0.0007453273707145291
2019-03-06,-0.00496336563460176,-0.005671727298768304
2019-03-07,-0.01615201900237528,-0.012272412998386668
2019-03-08,-0.00047847455049836646,-0.0015166540278832566
2019-03-11,0.018044493886139008,0.020798037039200905
2019-03-12,0.0013727847331280166,0.005494191037600955
2019-03-13,0.004565571650273176,0.007513233536342364
2019-03-14,-0.00365522114305548,-0.0016948195017230136
2019-03-15,0.009280742459396585,0.009280742459396576
2019-03-18,0.0005606952621251041,0.000560695262125106
2019-03-19,0.0033622863547213507,0.0033622863547213464
2019-03-20,0.003965372800893473,0.003965372800893466
2019-03-21,0.015631953716065843,0.01563195371606585
2019-03-22,-0.021684695835348183,-0.021964178123459414
2019-03-25,-0.0017853539852830873,-0.0019041218637992885
2019-03-26,0.004945795698436743,0.004657165301312996
2019-03-27,-0.0062992962034707604,-0.0064227869310249375
2019-03-28,0.002458538374679423,0.0033323715475218514
2019-03-29,0.004555768208147723,0.007850590229437885
2019-04-01,0.011679554847426651,0.012784898633658379
2019-04-02,-0.000479837163951918,-0.0006874440077649781
2019-04-03,0.005369530395622146,0.0025896441655112604
2019-04-04,0.003147106197572408,-0.00038089019479814354
2019-04-05,0.005161037552802873,0.005171193729247126
2019-04-08,0.002490536250827435,0.002545218238925616
2019-04-09,-0.0035604578666382737,-0.003511046291794996
2019-04-10,0.005306655470664082,0.005366435385949719
2019-04-11,-0.002308431655515344,-0.0023723513236642018
2019-04-12,0.004323623196238488,0.004323623196238471
2019-04-15,0.00016143787332500184,0.00016143787332500891
2019-04-16,0.003443452060690742,0.003443452060690742
2019-04-17,0.003485254691689016,0.003485254691689027
2019-04-18,0.0012823938017632061,0.0012823938017632048
2019-04-22,0.002828325951224715,0.0028283259512247296
2019-04-23,0.012718177948063148,0.012718177948063177
2019-04-24,-0.0031527507750511714,-0.0031527507750511714
2019-04-25,0.004058826630119544,0.004058826630119579
2019-04-26,0.0008924821503571156,0.0008924821503570912
2019-04-29,0.00194072908471021,0.0019407290847102134
2019-04-30,-0.007747879803161982,-0.007747879803162044
2019-05-01,-0.0032183180331328025,-0.0032183180331327743
2019-05-02,-0.004340231831895335,-0.004340231831895357
2019-05-03,0.015948115464355886,0.015948115464355938
2019-05-06,-0.008204498178470401,-0.006122128617026875
2019-05-07,-0.01940083425897365,-0.01947983573760126
2019-05-08,-0.002536181367722554,-0.002523625429553311
2019-05-09,-0.006564220418724507,-0.005383000484470045
2019-05-10,0.0021866690790963966,0.0012447908210206958
2019-05-13,-0.028183656515171268,-0.034702702702702586
2019-05-14,0.010175463015237097,0.01097547317728731
2019-05-15,0.008955933707930264,0.014124293785310764
2019-05-16,0.007976165461709457,0.01004970233218638
2019-05-17,-0.007780377594741265,-0.009348979158864474
2019-05-20,-0.00534183280326151,-0.014738310665681329
2019-05-21,0.00929318199486716,0.009872354904068955
2019-05-22,-0.005557149777616611,-0.00410788125420141
2019-05-23,-0.013923575985993425,-0.014691612718926508
2019-05-24,0.010057696124483751,0.0020693631327597787
2019-05-28,-0.00812319418267025,-0.008477618048937796
2019-05-29,-0.007942224125209743,-0.007263592420396355
2019-05-30,-0.0011290974071157412,0.0021921604828943953
2019-05-31,-0.012411293562588637,-0.015326746523048527
2019-06-03,0.0036281588608743447,-0.022017821212992117
2019-06-04,0.015795353784600334,0.028156595344462687
2019-06-05,0.002463061054552234,0.007432393802527138
2019-06-06,0.0049465316382873974,0.007945065546790753
2019-06-07,0.011218075122406423,0.019311975677045005
