,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^TWII,^TWII,^TWII,^TWII,^TWII,^TWII,^AXJO,^AXJO,^AXJO,^AXJO,^AXJO,^AXJO,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^N225,^N225,^N225,^N225,^N225,^N225,^KS11,^KS11,^KS11,^KS11,^KS11,^KS11,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,^SSMI,^SSMI,^SSMI,^SSMI,^SSMI,^SSMI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NDX,^NDX,^NDX,^NDX,^NDX,^NDX,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,MSCI_China,MSCI_China
,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-02,3962.1999512,4004.3999023,3962.1999512,4004.3999023,164600.0,3986.94352,,,,,,,,,,,,,353.4,359.69,351.98,359.69,162070000.0,357.12,,,,,,,,,,,,,,,,,,,2442.4,2443.3,2425.5,2433.1,0.0,2436.075,,,,,,,,,,,,,223.84,227.73,220.43,227.73,0.0,224.9325,1788.8900146,1788.8900146,1788.8900146,1788.8900146,0.0,0.0,,,,,,,,
1990-01-03,4014.3000488,4020.8999023,4007.1999512,4009.5,147600.0,4009.13932,,,,,,,,,,,,,359.69,360.59,357.89,358.76,192330000.0,359.08,,,,,,,909.72,909.72,877.04,908.59,0.0,901.2675,,,,,,,2451.3,2466.2,2445.8,2463.7,0.0,2456.75,,,,,,,,,,,,,227.73,228.94,226.1,226.1,0.0,227.2175,1867.2900391,1867.2900391,1867.2900391,1867.2900391,0.0,0.0,,,,,,,,
1990-01-04,4011.1999512,4016.1999512,3996.6999512,4000.8999023,297100.0,4001.2133,,,,,,,,,,,,,358.76,358.76,352.89,355.67,177000000.0,355.77,38922.0,38951.0,38705.0,38713.0,0.0,38822.75,911.21,933.24,911.21,928.82,0.0,921.12,,,,,,,2469.6,2479.4,2451.6,2451.6,0.0,2463.05,,,,,,,,,,,,,226.1,226.18,222.71,224.71,0.0,224.925,1830.9200439,1830.9200439,1830.9200439,1830.9200439,0.0,0.0,,,,,,,,
1990-01-05,3997.6999512,4007.6000977,3989.3000488,3990.3999023,279500.0,3992.38883,,,,,,,,,,,,,355.67,355.67,351.35,352.2,158530000.0,353.07,38717.0,38786.0,38091.0,38275.0,0.0,38467.25,926.56,931.56,913.66,915.11,0.0,921.7225,,,,,,,2447.9,2448.7,2439.7,2444.5,0.0,2445.2,,,,,,,,,,,,,224.71,224.79,222.89,223.14,0.0,223.8825,1812.9000244,1812.9000244,1812.9000244,1812.9000244,0.0,0.0,,,,,,,,
1990-01-08,3981.1999512,3981.1999512,3963.0,3971.1000977,242800.0,3968.40511,,,,,,,,,,,,,352.2,354.24,350.54,353.79,140110000.0,352.86,38332.0,38564.0,38121.0,38295.0,0.0,38328.0,916.33,920.48,909.22,919.46,0.0,916.3725,,,,,,,2444.5,2445.6,2423.8,2431.3,0.0,2436.3,,,,,,,,,,,,,223.14,223.58,221.64,223.54,0.0,222.975,1841.4699707,1841.4699707,1841.4699707,1841.4699707,0.0,0.0,,,,,,,,
1990-01-09,3974.1000977,3974.1000977,3951.1000977,3952.3999023,251400.0,3955.85433,,,,,,,,,,,,,353.83,354.17,349.61,349.62,155210000.0,351.13,38281.0,38297.0,37730.0,37951.0,0.0,38064.75,923.82,923.82,914.64,920.21,0.0,920.6225,,,,,,,2429.1,2437.8,2420.5,2436.3,0.0,2430.925,,,,,,,,,,,,,223.54,224.33,221.08,221.18,0.0,222.5325,1865.5200195,1865.5200195,1865.5200195,1865.5200195,0.0,0.0,,,,,,,,
1990-01-10,3943.6999512,3946.1000977,3932.6999512,3941.6000977,340600.0,3936.79679,,,,,,,,,,,,,349.62,349.62,344.32,347.31,175990000.0,347.08,37928.0,37928.0,37460.0,37697.0,0.0,37753.25,920.79,920.79,911.35,911.48,0.0,916.1025,,,,,,,2424.5,2425.2,2411.9,2418.3,0.0,2419.975,,,,,,,,,,,,,221.18,221.18,216.46,216.55,0.0,218.8425,1843.0500488,1843.0500488,1843.0500488,1843.0500488,0.0,0.0,,,,,,,,
1990-01-11,3945.0,3947.5,3937.6999512,3941.6999512,344500.0,3938.96338,,,,,,,,,,,,,347.31,350.14,347.31,348.53,154390000.0,348.66,37706.0,38170.0,37604.0,38170.0,0.0,37912.5,907.34,913.24,903.27,903.27,0.0,906.78,,,,,,,2420.5,2421.0,2396.5,2417.9,0.0,2413.975,,,,,,,,,,,,,216.55,218.22,213.51,213.51,0.0,215.4475,1843.4200439,1843.4200439,1843.4200439,1843.4200439,0.0,0.0,,,,,,,,
1990-01-12,3907.6000977,3907.6000977,3879.6999512,3881.8000488,432100.0,3886.41406,,,,,,,,,,,,,348.53,348.53,339.49,339.93,183880000.0,342.65,38130.0,38130.0,37517.0,37517.0,0.0,37823.5,903.76,905.6,896.75,903.11,0.0,902.305,,,,,,,2402.9,2402.9,2370.9,2380.3,0.0,2389.25,,,,,,,,,,,,,213.51,213.51,208.4,208.79,0.0,211.0525,1860.9599609,1860.9599609,1860.9599609,1860.9599609,0.0,0.0,,,,,,,,
1990-01-15,3885.8000488,3898.8999023,3873.0,3894.0,235200.0,3885.33708,,,,,,,,,,,,,339.93,339.94,336.57,337.0,140590000.0,337.84,,,,,,,888.53,892.71,883.02,883.04,0.0,886.825,,,,,,,2354.4,2366.4,2352.8,2366.2,0.0,2359.95,,,,,,,,,,,,,208.79,209.34,207.29,207.62,0.0,208.26,1840.3800049,1840.3800049,1840.3800049,1840.3800049,0.0,0.0,,,,,,,,
1990-01-16,3872.6000977,3902.0,3872.6000977,3900.0,315100.0,3888.2321,,,,,,,,,,,,,337.0,340.75,333.37,340.75,186070000.0,338.29,37469.0,37469.0,36658.0,36850.0,0.0,37111.5,881.23,884.47,874.34,883.43,0.0,880.8675,,,,,,,2369.4,2369.7,2329.5,2349.1,0.0,2354.425,,,,,,,,,,,,,207.62,212.0,204.76,211.91,0.0,209.0725,1806.0999756,1806.0999756,1806.0999756,1806.0999756,0.0,0.0,,,,,,,,
1990-01-17,3894.0,3897.1999512,3872.3000488,3872.3000488,327600.0,3877.32218,,,,,,,,,,,,,340.77,342.01,336.26,337.4,170470000.0,338.56,36894.0,37285.0,36821.0,36821.0,0.0,36955.25,882.65,882.65,874.41,874.41,0.0,878.53,,,,,,,2355.6,2373.9,2355.5,2373.9,0.0,2364.725,,,,,,,,,,,,,211.91,213.9,210.45,210.6,0.0,211.715,1810.6099854,1810.6099854,1810.6099854,1810.6099854,0.0,0.0,,,,,,,,
1990-01-18,3862.3999023,3868.8000488,3850.8999023,3857.3999023,262000.0,3855.76807,,,,,,,,,,,,,337.4,338.38,333.98,338.19,178590000.0,336.85,36834.0,37003.0,36521.0,36729.0,0.0,36771.75,876.49,881.25,873.91,874.81,0.0,876.615,,,,,,,2358.0,2358.0,2326.2,2336.9,0.0,2344.775,,,,,,,,,,,,,210.6,210.63,208.31,210.57,0.0,210.0275,1771.6700439,1771.6700439,1771.6700439,1771.6700439,0.0,0.0,,,,,,,,
1990-01-19,3872.3999023,3872.3999023,3856.0,3865.1000977,309000.0,3861.22819,,,,,,,,,,,,,338.19,340.48,338.19,339.15,185590000.0,339.27,36704.0,36840.0,36365.0,36837.0,0.0,36686.5,873.48,873.48,865.59,868.2,0.0,870.1875,,,,,,,2346.2,2349.3,2319.7,2335.0,0.0,2337.55,,,,,,,,,,,,,210.57,214.89,210.57,213.91,0.0,212.485,1775.2900391,1775.2900391,1775.2900391,1775.2900391,0.0,0.0,,,,,,,,
1990-01-22,3856.5,3856.5,3800.8999023,3801.5,262100.0,3816.41536,,,,,,,,,,,,,339.14,339.96,330.28,330.38,148380000.0,333.54,36853.0,37257.0,36851.0,37257.0,0.0,37054.5,885.75,898.89,882.89,898.89,0.0,891.605,,,,,,,2346.3,2346.4,2297.1,2297.1,0.0,2321.725,,,,,,,,,,,,,213.91,213.91,207.88,208.06,0.0,210.94,1787.0799561,1787.0799561,1787.0799561,1787.0799561,0.0,0.0,,,,,,,,
1990-01-23,3821.3000488,3821.3000488,3793.5,3812.6999512,304600.0,3805.93921,,,,,,,,,,,,,330.38,332.76,328.67,331.61,179300000.0,331.01,37213.0,37379.0,37018.0,37378.0,0.0,37247.0,899.42,905.26,889.89,890.52,0.0,896.2725,,,,,,,2297.1,2305.9,2272.6,2291.1,0.0,2291.675,,,,,,,,,,,,,208.06,209.99,206.07,207.48,0.0,207.9,1785.0,1785.0,1785.0,1785.0,0.0,0.0,,,,,,,,
1990-01-24,3760.3999023,3763.3999023,3747.1000977,3761.5,447200.0,3754.14933,,,,,,,,,,,,,331.61,331.71,324.17,330.26,207830000.0,328.71,37396.0,37463.0,36683.0,36779.0,0.0,37080.25,900.94,905.53,898.08,903.58,0.0,902.0325,,,,,,,2267.6,2278.8,2250.5,2278.6,0.0,2268.875,,,,,,,,,,,,,207.48,209.75,205.75,206.74,0.0,207.43,1751.6199951,1751.6199951,1751.6199951,1751.6199951,0.0,0.0,,,,,,,,
1990-01-25,3764.3999023,3764.3999023,3748.3999023,3749.3999023,260400.0,3750.89282,,,,,,,,,,,,,330.26,332.33,325.33,326.08,172270000.0,327.91,36822.0,37082.0,36766.0,36969.0,0.0,36909.75,907.84,907.84,902.56,905.75,0.0,905.9975,,,,,,,2292.0,2308.1,2288.7,2289.9,0.0,2294.675,,,,,,,,,,,,,206.74,209.83,205.47,205.77,0.0,206.9525,1791.5200195,1791.5200195,1791.5200195,1791.5200195,0.0,0.0,,,,,,,,
1990-01-26,3756.5,3757.1999512,3720.1999512,3733.6999512,308900.0,3733.87272,,,,,,,,,,,,,326.09,328.58,321.44,325.8,198190000.0,325.27,36978.0,37088.0,36846.0,36874.0,0.0,36946.5,,,,,,,,,,,,,2297.6,2325.5,2297.5,2314.5,0.0,2308.775,,,,,,,,,,,,,205.77,206.75,201.24,203.24,0.0,204.25,1798.2199707,1798.2199707,1798.2199707,1798.2199707,0.0,0.0,,,,,,,,
1990-01-29,3738.8000488,3740.8999023,3720.0,3722.5,192200.0,3724.64893,,,,,,,,,,,,,325.8,327.31,321.79,325.2,150770000.0,324.77,36913.0,37225.0,36913.0,37174.0,0.0,37056.25,900.74,901.29,896.11,897.32,0.0,898.865,,,,,,,2317.7,2333.3,2317.7,2328.8,0.0,2324.375,,,,,,,,,,,,,203.24,204.82,200.12,202.05,0.0,202.5575,1815.6899414,1815.6899414,1815.6899414,1815.6899414,0.0,0.0,,,,,,,,
1990-01-30,3716.0,3716.3999023,3696.6000977,3707.0,273200.0,3703.52873,,,,,,,,,,,,,325.2,325.73,319.83,322.98,186030000.0,322.85,37210.0,37336.0,37192.0,37216.0,0.0,37238.5,899.54,899.54,885.69,888.47,0.0,893.31,,,,,,,2325.5,2334.0,2321.3,2322.0,0.0,2325.7,,,,,,,,,,,,,202.05,202.05,196.68,197.65,0.0,199.6075,1815.1999512,1815.1999512,1815.1999512,1815.1999512,0.0,0.0,,,,,,,,
1990-01-31,3708.1999512,3708.1999512,3690.5,3704.3999023,318900.0,3697.89754,,,,,,,,,,,,,322.98,329.08,322.98,329.08,189660000.0,327.05,37201.0,37208.0,36957.0,37189.0,0.0,37138.75,882.94,896.16,879.36,896.16,0.0,888.655,,,,,,,2314.9,2337.4,2314.9,2337.3,0.0,2326.125,,,,,,,,,,,,,197.65,201.96,197.65,201.94,0.0,199.8,1821.2099609,1821.2099609,1821.2099609,1821.2099609,0.0,0.0,,,,,,,,
1990-02-01,3714.0,3714.0,3699.6999512,3709.1000977,299900.0,3704.46029,,,,,,,,,,,,,329.08,329.86,327.76,328.79,154580000.0,328.8,37242.0,37332.0,37125.0,37206.0,0.0,37226.25,891.04,891.04,884.43,885.83,0.0,888.085,,,,,,,2346.5,2355.4,2343.6,2345.8,0.0,2347.825,,,,,,,,,,,,,201.94,203.04,200.52,203.04,0.0,202.135,1852.9200439,1852.9200439,1852.9200439,1852.9200439,0.0,0.0,,,,,,,,
1990-02-02,3703.8000488,3726.6000977,3703.8000488,3719.6000977,223400.0,3713.51815,,,,,,,,,,,,,328.79,332.1,328.09,330.92,164400000.0,330.37,37256.0,37665.0,37256.0,37650.0,0.0,37456.75,880.86,884.54,877.81,878.15,0.0,880.34,,,,,,,2346.1,2356.2,2342.3,2355.1,0.0,2349.925,,,,,,,,,,,,,203.04,206.76,202.69,205.62,0.0,204.5275,1908.4599609,1908.4599609,1908.4599609,1908.4599609,0.0,0.0,,,,,,,,
1990-02-05,3733.1999512,3767.1999512,3733.1999512,3767.1999512,254600.0,3752.67765,,,,,,,,,,,,,330.92,332.16,330.45,331.85,130950000.0,331.49,37677.0,37732.0,37583.0,37631.0,0.0,37655.75,874.92,881.47,874.92,877.45,0.0,877.19,,,,,,,2350.0,2353.7,2344.8,2348.4,0.0,2349.225,,,,,,,,,,,,,205.62,206.84,205.07,206.49,0.0,206.005,1939.8199463,1939.8199463,1939.8199463,1939.8199463,0.0,0.0,,,,,,,,
1990-02-06,3770.8000488,3778.6000977,3759.8000488,3769.1000977,251500.0,3765.97624,,,,,,,,,,,,,331.85,331.86,328.2,329.66,134070000.0,329.91,37680.0,37887.0,37643.0,37667.0,0.0,37719.25,880.21,886.86,878.41,886.86,0.0,883.085,,,,,,,2345.4,2345.4,2320.0,2321.1,0.0,2332.975,,,,,,,,,,,,,206.49,206.71,203.77,205.07,0.0,205.51,1936.25,1936.25,1936.25,1936.25,0.0,0.0,,,,,,,,
1990-02-07,3758.6000977,3783.3000488,3758.6000977,3779.1999512,310300.0,3770.50098,,,,,,,,,,,,,329.66,333.76,326.55,333.75,186710000.0,331.35,37684.0,37693.0,37256.0,37302.0,0.0,37483.75,888.21,888.92,880.39,880.39,0.0,884.4775,,,,,,,2314.7,2320.6,2299.1,2307.4,0.0,2310.45,,,,,,,,,,,,,205.07,207.2,202.91,206.8,0.0,205.495,1895.6500244,1895.6500244,1895.6500244,1895.6500244,0.0,0.0,,,,,,,,
1990-02-08,3785.0,3795.3000488,3781.3999023,3783.3000488,310800.0,3783.46411,,,,,,,,,,,,,333.75,336.09,332.0,332.96,176240000.0,333.68,37346.0,37516.0,37181.0,37516.0,0.0,37389.75,879.8,882.9,876.06,882.52,0.0,880.32,,,,,,,2321.2,2331.2,2321.0,2331.0,0.0,2326.1,,,,,,,,,,,,,206.8,209.58,206.8,207.24,0.0,207.605,1909.9499512,1909.9499512,1909.9499512,1909.9499512,0.0,0.0,,,,,,,,
1990-02-09,3779.1999512,3785.5,3775.6999512,3777.8000488,266800.0,3776.46883,,,,,,,,,,,,,333.02,334.6,332.41,333.62,146910000.0,333.54,37509.0,37509.0,37193.0,37288.0,0.0,37374.75,884.17,884.45,878.84,879.1,0.0,881.64,,,,,,,2323.6,2323.9,2308.5,2313.6,0.0,2317.4,,,,,,,,,,,,,207.24,208.74,206.92,208.49,0.0,207.8475,1895.9300537,1895.9300537,1895.9300537,1895.9300537,0.0,0.0,,,,,,,,
1990-02-12,3775.8999023,3779.3000488,3764.6999512,3766.3000488,230900.0,3766.91195,,,,,,,,,,,,,333.62,333.62,329.97,330.08,118390000.0,331.22,,,,,,,872.29,872.88,867.05,867.05,0.0,869.8175,,,,,,,2313.0,2313.3,2282.4,2286.9,0.0,2298.9,,,,,,,,,,,,,208.49,208.52,205.95,206.88,0.0,207.46,1844.4699707,1844.4699707,1844.4699707,1844.4699707,0.0,0.0,,,,,,,,
1990-02-13,3763.0,3763.0,3744.3000488,3751.8999023,266700.0,3749.89071,,,,,,,,,,,,,330.08,331.61,327.92,331.02,144490000.0,330.18,37320.0,37351.0,37094.0,37107.0,0.0,37218.0,864.07,872.85,863.77,866.57,0.0,866.815,,,,,,,2292.9,2299.4,2285.8,2293.2,0.0,2292.825,,,,,,,,,,,,,206.88,207.99,205.35,207.2,0.0,206.855,1857.0999756,1857.0999756,1857.0999756,1857.0999756,0.0,0.0,,,,,,,,
1990-02-14,3754.3000488,3760.0,3749.6999512,3750.3999023,227600.0,3750.19198,,,,,,,,,,,,,331.02,333.2,330.64,332.01,138530000.0,331.95,37125.0,37183.0,37018.0,37156.0,0.0,37120.5,866.65,872.64,866.65,872.63,0.0,869.6425,,,,,,,2303.7,2310.6,2297.6,2298.3,0.0,2302.55,,,,,,,,,,,,,207.2,208.54,206.99,208.06,0.0,207.6975,1836.5799561,1836.5799561,1836.5799561,1836.5799561,0.0,0.0,,,,,,,,
1990-02-15,3749.6000977,3750.3000488,3731.8000488,3732.6999512,349900.0,3735.10701,,,,,,,,,,,,,332.01,335.21,331.61,334.89,174620000.0,333.9,37186.0,37585.0,37186.0,37472.0,0.0,37357.25,874.14,877.32,873.48,874.09,0.0,874.7575,,,,,,,2293.3,2314.4,2289.3,2313.8,0.0,2302.7,,,,,,,,,,,,,208.06,210.1,206.87,209.93,0.0,208.74,1845.9200439,1845.9200439,1845.9200439,1845.9200439,0.0,0.0,,,,,,,,
1990-02-16,3737.5,3743.8000488,3730.8000488,3731.6999512,243200.0,3732.2745,,,,,,,,,,,,,334.89,335.64,332.42,332.72,166840000.0,333.59,37523.0,37674.0,37405.0,37460.0,0.0,37515.5,873.07,875.34,872.15,872.5,0.0,873.265,,,,,,,2322.1,2334.4,2319.6,2325.9,0.0,2325.5,,,,,,,,,,,,,209.93,210.43,208.31,208.35,0.0,209.255,1888.8199463,1888.8199463,1888.8199463,1888.8199463,0.0,0.0,,,,,,,,
1990-02-19,3733.0,3737.0,3733.0,3735.0,167400.0,3731.83838,,,,,,,,,,,,,,,,,,,37496.0,37611.0,37097.0,37223.0,0.0,37356.75,865.0,865.0,859.24,859.24,0.0,862.12,,,,,,,2317.9,2318.1,2294.9,2297.1,0.0,2307.0,,,,,,,,,,,,,,,,,,,1886.7299805,1886.7299805,1886.7299805,1886.7299805,0.0,0.0,,,,,,,,
1990-02-20,3717.8000488,3717.8000488,3682.8999023,3692.3000488,288100.0,3694.54118,,,,,,,,,,,,,332.72,332.72,326.26,327.99,147300000.0,328.99,37158.0,37158.0,36868.0,36896.0,0.0,37020.0,857.47,861.75,855.78,856.64,0.0,857.91,,,,,,,2288.2,2290.8,2276.4,2277.0,0.0,2283.1,,,,,,,,,,,,,208.35,208.35,203.35,205.07,0.0,206.28,1830.5100098,1830.5100098,1830.5100098,1830.5100098,0.0,0.0,,,,,,,,
1990-02-21,3660.0,3672.6000977,3660.0,3672.5,303000.0,3665.25798,,,,,,,,,,,,,327.91,328.17,324.47,327.67,159240000.0,326.77,36866.0,36866.0,35695.0,35734.0,0.0,36290.25,856.01,857.93,852.02,853.04,0.0,854.75,,,,,,,2251.8,2261.7,2246.0,2259.7,0.0,2254.8,,,,,,,,,,,,,205.07,205.44,201.82,204.75,0.0,204.27,1807.4000244,1807.4000244,1807.4000244,1807.4000244,0.0,0.0,,,,,,,,
1990-02-22,3675.6999512,3684.3999023,3667.8999023,3668.6000977,293600.0,3670.52783,,,,,,,,,,,,,327.67,330.98,325.7,325.7,184320000.0,327.46,35767.0,36148.0,35088.0,35827.0,0.0,35707.5,852.08,853.47,847.13,853.45,0.0,851.5325,,,,,,,2261.7,2269.2,2251.5,2269.2,0.0,2262.9,,,,,,,,,,,,,204.75,206.85,203.98,204.19,0.0,204.9425,1823.5,1823.5,1823.5,1823.5,0.0,0.0,,,,,,,,
1990-02-23,3654.1000977,3663.8000488,3646.3000488,3652.6000977,238000.0,3651.14144,,,,,,,,,,,,,325.7,326.15,322.1,324.15,148490000.0,324.13,35803.0,35803.0,34841.0,34891.0,0.0,35334.5,853.45,857.68,850.84,850.84,0.0,853.2025,,,,,,,2248.2,2248.4,2228.3,2236.7,0.0,2240.4,,,,,,,,,,,,,204.19,204.19,200.4,201.79,0.0,202.6425,1788.3900146,1788.3900146,1788.3900146,1788.3900146,0.0,0.0,,,,,,,,
1990-02-26,3633.1999512,3650.3999023,3628.3999023,3649.5,217700.0,3639.67725,,,,,,,,,,,,,324.16,328.67,323.98,328.67,148900000.0,327.11,34863.0,34863.0,32443.0,33322.0,0.0,33872.75,842.37,842.37,833.81,833.81,0.0,838.09,,,,,,,2208.5,2249.4,2208.4,2249.3,0.0,2228.9,,,,,,,,,,,,,201.79,204.68,201.4,204.63,0.0,203.125,1764.0600586,1764.0600586,1764.0600586,1764.0600586,0.0,0.0,,,,,,,,
1990-02-27,3659.3000488,3667.1999512,3656.6999512,3660.3000488,198500.0,3658.30151,,,,,,,,,,,,,328.68,331.94,328.47,330.26,152590000.0,330.22,33346.0,34001.0,32793.0,33898.0,0.0,33509.5,830.66,859.83,830.66,859.83,0.0,845.245,,,,,,,2254.5,2257.5,2249.2,2254.8,0.0,2254.0,,,,,,,,,,,,,204.65,206.71,204.65,205.79,0.0,205.45,1797.0400391,1797.0400391,1797.0400391,1797.0400391,0.0,0.0,,,,,,,,
1990-02-28,3659.6000977,3692.8000488,3659.6000977,3686.6999512,245100.0,3676.57935,,,,,,,,,,,,,330.26,333.48,330.16,331.89,184400000.0,331.84,33950.0,34756.0,33950.0,34592.0,0.0,34312.0,860.34,868.16,857.19,861.59,0.0,861.82,,,,,,,2255.5,2265.6,2253.7,2255.4,0.0,2257.55,,,,,,,,,,,,,205.79,208.59,205.6,207.91,0.0,206.9725,1806.6300049,1806.6300049,1806.6300049,1806.6300049,0.0,0.0,,,,,,,,
1990-03-01,3682.5,3709.5,3682.5,3700.1999512,217800.0,3694.26782,,,,,,,,,,,,,331.89,334.4,331.08,332.74,157930000.0,332.74,34587.0,34588.0,33830.0,33830.0,0.0,34208.75,,,,,,,,,,,,,2246.2,2246.2,2236.0,2238.4,0.0,2241.7,,,,,,,,,,,,,207.91,210.02,206.52,209.1,0.0,208.3875,1796.1800537,1796.1800537,1796.1800537,1796.1800537,0.0,0.0,,,,,,,,
1990-03-02,3699.3999023,3711.1000977,3699.3999023,3707.3999023,202900.0,3702.82829,,,,,,,,,,,,,332.74,335.54,332.72,335.54,164330000.0,334.6,33855.0,34092.0,33771.0,34058.0,0.0,33944.0,881.16,886.42,879.27,884.07,0.0,882.73,,,,,,,2240.6,2255.9,2240.6,2254.8,0.0,2247.975,,,,,,,,,,,,,209.1,211.54,208.9,211.54,0.0,210.27,1804.9799805,1804.9799805,1804.9799805,1804.9799805,0.0,0.0,,,,,,,,
1990-03-05,3712.6999512,3717.6000977,3709.1999512,3712.0,154000.0,3709.79126,,,,,,,,,,,,,335.54,336.38,333.49,333.74,140110000.0,334.54,34072.0,34118.0,33752.0,33845.0,0.0,33946.75,873.41,876.26,865.22,865.22,0.0,870.0275,,,,,,,2238.0,2238.8,2230.2,2230.5,0.0,2234.375,,,,,,,,,,,,,211.54,212.08,209.35,210.39,0.0,210.84,1838.1800537,1838.1800537,1838.1800537,1838.1800537,0.0,0.0,,,,,,,,
1990-03-06,3715.6000977,3723.1999512,3706.1000977,3723.1999512,204500.0,3714.34831,,,,,,,,,,,,,333.74,337.93,333.57,337.93,143640000.0,336.48,33857.0,33989.0,33730.0,33791.0,0.0,33841.75,860.59,864.8,852.59,857.58,0.0,858.89,,,,,,,2236.4,2238.2,2211.8,2216.0,0.0,2225.6,,,,,,,,,,,,,210.39,212.51,207.67,210.96,0.0,210.3825,1820.3599854,1820.3599854,1820.3599854,1820.3599854,0.0,0.0,,,,,,,,
1990-03-07,3727.6000977,3734.8000488,3723.6999512,3728.6000977,225400.0,3725.8772,,,,,,,,,,,,,337.93,338.84,336.33,336.95,163580000.0,337.37,33798.0,33807.0,33180.0,33362.0,0.0,33536.75,855.5,855.89,846.88,847.46,0.0,851.4325,,,,,,,2222.5,2234.9,2219.1,2230.3,0.0,2226.7,,,,,,,,,,,,,210.96,211.87,209.81,210.15,0.0,210.6975,1841.9200439,1841.9200439,1841.9200439,1841.9200439,0.0,0.0,,,,,,,,
1990-03-08,3732.8000488,3752.0,3732.8000488,3752.0,195000.0,3742.42399,,,,,,,,,,,,,336.95,340.66,336.95,340.27,170900000.0,339.29,33273.0,33939.0,32971.0,33691.0,0.0,33468.5,845.01,857.36,843.1,847.77,0.0,848.31,,,,,,,2240.9,2254.7,2240.8,2250.0,0.0,2246.6,,,,,,,,,,,,,210.15,213.57,209.61,213.11,0.0,211.61,1861.9499512,1861.9499512,1861.9499512,1861.9499512,0.0,0.0,,,,,,,,
1990-03-09,3739.1999512,3745.1000977,3729.8000488,3732.8999023,181700.0,3732.77344,,,,,,,,,,,,,340.12,340.27,336.84,337.93,150410000.0,338.35,33724.0,34320.0,33724.0,33993.0,0.0,33940.25,848.96,852.7,846.69,852.7,0.0,850.2625,,,,,,,2263.3,2263.3,2230.9,2234.3,0.0,2247.95,,,,,,,,,,,,,213.11,214.13,212.48,213.82,0.0,213.385,1858.8900146,1858.8900146,1858.8900146,1858.8900146,0.0,0.0,,,,,,,,
1990-03-12,3728.5,3740.8999023,3728.5,3740.1999512,152300.0,3733.36727,,,,,,,,,,,,,337.93,339.08,336.14,338.67,114790000.0,337.96,33985.0,34006.0,33366.0,33368.0,0.0,33681.25,853.28,854.06,849.24,850.65,0.0,851.8075,,,,,,,2217.3,2229.1,2217.3,2222.8,0.0,2221.625,,,,,,,,,,,,,213.82,213.83,211.92,213.52,0.0,213.2725,1843.7399902,1843.7399902,1843.7399902,1843.7399902,0.0,0.0,,,,,,,,
1990-03-13,3728.1000977,3734.1000977,3723.1000977,3734.1000977,163100.0,3727.27262,,,,,,,,,,,,,338.67,338.67,335.36,336.0,145440000.0,336.68,33318.0,33318.0,32621.0,32621.0,0.0,32969.5,850.25,850.26,841.55,841.56,0.0,845.905,,,,,,,2224.1,2224.8,2213.4,2224.5,0.0,2221.7,,,,,,,,,,,,,213.52,214.02,211.49,211.51,0.0,212.635,1866.5699463,1866.5699463,1866.5699463,1866.5699463,0.0,0.0,,,,,,,,
1990-03-14,3734.6999512,3741.6999512,3727.5,3734.6000977,204700.0,3731.4388,,,,,,,,,,,,,336.0,337.63,334.93,336.87,145060000.0,336.48,32578.0,32762.0,32280.0,32352.0,0.0,32493.0,840.95,844.85,836.81,838.19,0.0,840.2,,,,,,,2224.4,2238.3,2223.2,2226.1,0.0,2228.0,,,,,,,,,,,,,211.51,212.85,210.71,212.27,0.0,211.835,1876.8900146,1876.8900146,1876.8900146,1876.8900146,0.0,0.0,,,,,,,,
1990-03-15,3750.8000488,3757.3999023,3748.6999512,3757.3999023,264500.0,3751.31934,,,,,,,,,,,,,336.87,338.91,336.87,338.07,144410000.0,337.95,32365.0,32720.0,32365.0,32672.0,0.0,32530.5,836.44,837.19,833.29,835.59,0.0,835.6275,,,,,,,2228.0,2242.3,2227.9,2234.9,0.0,2233.275,,,,,,,,,,,,,212.3,214.13,212.1,213.48,0.0,213.0025,1884.2600098,1884.2600098,1884.2600098,1884.2600098,0.0,0.0,,,,,,,,
