date,Regime-Aware MV,Benchmark (Standard MV)
2019-01-02,0.0022647267551377894,0.002422557066374877
2019-01-03,-0.005176064860834157,-0.006858145186637832
2019-01-04,0.017634493065339724,0.01313832172648098
2019-01-07,0.0090690456062451,0.005336108843945982
2019-01-08,0.006602156401631952,0.0028076472310977095
2019-01-09,0.006709939236579087,0.007056761691511266
2019-01-10,0.0006223848802652857,-0.003617703362224724
2019-01-11,0.0006980823440503969,-0.0002565756690176837
2019-01-14,-0.0038406498528762785,-0.0023542518210021295
2019-01-15,0.004107465012122182,0.008545570358847367
2019-01-16,0.005277528240733469,0.002204738287577524
2019-01-17,0.004715216382471612,0.0042683357367460754
2019-01-18,0.00327368861898433,0.0031699610220765244
2019-01-22,-0.0075205158557508645,-0.009287107644730406
2019-01-23,-0.00024239329727657384,0.003058432167761944
2019-01-24,0.002036663438925827,0.0018651267772323314
2019-01-25,0.013498530051810974,0.010825557445519366
2019-01-28,-0.0017157901023364722,-0.007959072846407138
2019-01-29,0.0018466974974769624,-0.0016548271967657961
2019-01-30,0.008886960472491955,0.018597373410781413
2019-01-31,0.0036526664902636788,0.006026784978970044
2019-02-01,-0.0005754749502836335,-0.0015369673825320856
2019-02-04,0.003775872069819586,0.007109107801272916
2019-02-05,0.003044291422530289,0.006695800185679816
2019-02-06,-0.004469089158081396,-0.0032777380783596995
2019-02-07,-0.005271497407436683,-0.007059757623096221
2019-02-08,-2.4008044941396607e-05,0.0011869893624879332
2019-02-11,-0.0015917329290448404,-0.002290387047809467
2019-02-12,0.008081137852750163,0.01090864157123786
2019-02-13,-0.003266764458736738,0.0014855020115276888
2019-02-14,0.0034767903164679937,0.0005990401918716744
2019-02-15,0.004890695216324557,0.00834740286613589
2019-02-19,0.010743412513771478,0.004072696722259475
2019-02-20,0.001975942958297353,0.0006494318534675605
2019-02-21,-0.006168921087690356,-0.006747881241063031
2019-02-22,0.007350777116845938,0.006141988171146834
2019-02-25,0.005350959975141851,0.0011034010700206641
2019-02-26,-0.0008359322627837504,-0.00030282274215084144
2019-02-27,-0.005729602076332352,-0.002790131417814053
2019-02-28,-0.005492757334461602,-0.0025163573169070088
2019-03-01,-0.003693086167731189,0.006392033896546441
2019-03-04,0.0004174684183086339,-0.00502338870685798
2019-03-05,0.0052674414698963236,-0.0007679277279249933
2019-03-06,-0.0037827216289710716,-0.008219211845722179
2019-03-07,-0.009767675780641699,-0.009789910559718902
2019-03-08,0.0039694244363908514,-0.0011629618773785788
2019-03-11,0.009130307203944334,0.01442498934028535
2019-03-12,0.003718133326108203,0.0015630267502582753
2019-03-13,0.005880285506244275,0.006663953381082121
2019-03-14,-0.006568516065887535,-0.0029436110375213203
2019-03-15,0.005545390051153776,0.004705681997063812
2019-03-18,0.0012520051999293125,0.00196673644076946
2019-03-19,0.0024376117187468373,0.0018860828428919568
2019-03-20,0.003340890801980573,0.0019249997432413657
2019-03-21,0.007291181475977279,0.008403695652493673
2019-03-22,-0.0126397189821672,-0.0179221718744309
2019-03-25,0.00183565088396252,0.00020648634513090365
2019-03-26,0.0018319976161361021,0.00644323980112527
2019-03-27,-0.005701691351016621,-0.0051669695067521025
2019-03-28,-0.0032847657388761463,0.002598914805865211
2019-03-29,0.003250395059382973,0.008645810990060697
2019-04-01,0.005530154328456677,0.015455132919212335
2019-04-02,0.0013971400303055045,0.0034449136913796267
2019-04-03,0.002677111947085835,0.00244643971815938
2019-04-04,0.0027238862373394563,0.003095890371670817
2019-04-05,0.0028380451466434365,0.0036072771775274895
2019-04-08,0.00276721510043777,-0.00025680741802723903
2019-04-09,-0.0007456076552677755,-0.005026419837952152
2019-04-10,0.004074606540911474,0.0029723124551204252
2019-04-11,-0.00565125566271075,-0.003591301619447996
2019-04-12,0.0027583128164145247,0.004276867053944459
2019-04-15,-0.0008082043078295018,-0.0005689920742454233
2019-04-16,-0.001970186104734736,-9.512154372867967e-05
2019-04-17,0.00015291493234731706,4.848245644835651e-05
2019-04-18,0.0012205115318606515,0.002044795522264242
2019-04-22,0.0013037322838068991,0.0022103569275102666
2019-04-23,0.0060628593784580465,0.00988442808983111
2019-04-24,-0.0005617730280251284,-0.002806237760504559
2019-04-25,0.0018392873392177392,0.00010777152635158173
2019-04-26,0.003925221676057157,0.002832094514562837
2019-04-29,-0.0006898359184423963,0.001478432296323214
2019-04-30,-0.0017847399931636603,-0.002626540527244277
2019-05-01,-0.005436268248799855,-0.005538501135198138
2019-05-02,-0.0036950655563029403,-0.003558800991803495
2019-05-03,0.010700603756000363,0.011884429368641583
2019-05-06,-0.0027414367060121817,-0.004627673217147007
2019-05-07,-0.009771058995155051,-0.018068919484078474
2019-05-08,-0.002278873597777885,-0.0014584298212534377
2019-05-09,-0.0017491283909215304,-0.0043032638052690865
2019-05-10,0.002260635182747578,0.0036525989227372173
2019-05-13,-0.013978510788570053,-0.028886895789471692
2019-05-14,0.0054423781163399805,0.009847787784615428
2019-05-15,0.0059790021959518665,0.008834783066106923
2019-05-16,0.002209148626359796,0.009467320361129872
2019-05-17,-0.007930485486214832,-0.00800903712976372
2019-05-20,-0.0033616957044056927,-0.00993526225451961
2019-05-21,0.00495236383697001,0.009231489875645083
2019-05-22,-0.003960565883606453,-0.003851409068961452
2019-05-23,-0.005785366515405273,-0.012876480421434392
2019-05-24,0.006366177820827903,0.0017730589601470152
2019-05-28,-0.0059183656721749885,-0.0072995984324138565
2019-05-29,-0.004549192687971377,-0.0077114740709811995
2019-05-30,0.002478366552727645,0.0032520537873640164
2019-05-31,-0.002496773665813569,-0.014671017156460653
2019-06-03,0.004972764773383919,-0.0035425910463669163
2019-06-04,0.010465693588346389,0.015529701897091781
2019-06-05,0.0036207878777059334,0.005724465073201308
2019-06-06,0.0045431480150689724,0.0057834401226084745
2019-06-07,0.008891274002002254,0.01197797338246092
2019-06-10,-0.0027882299918043523,-0.001087133742155418
2019-06-11,0.0006055199583263642,-0.0005561593555020853
2019-06-12,-0.0015063290020893292,0.000781808806719936
2019-06-13,0.00591501986727689,0.005039765024771827
2019-06-14,-0.0026055991488703823,-0.0008352109036550295
2019-06-17,0.0022694011917824912,8.32399398662042e-05
2019-06-18,0.010924870861137703,0.009699910120981934
2019-06-19,0.004381510796585268,0.00321035816071307
2019-06-20,0.014028717594834386,0.015762188869603164
2019-06-21,-0.00146455000107677,-3.4347116957597526e-05
2019-06-24,0.0029225787113017006,0.005301130382150738
2019-06-25,-0.00890757696055383,-0.005358542041048838
2019-06-26,-0.0014584892236323274,-0.0037625440405653797
2019-06-27,0.0021713981951954515,0.0012934700810024776
2019-06-28,0.0028063387008506096,0.00355348959717816
2019-07-01,0.0015355532738147836,-0.0041530001713780615
2019-07-02,0.009213301325555475,0.00998424750400538
2019-07-03,0.005731368344638429,0.005125660621548125
2019-07-05,-0.00476007868063987,-0.005088540388350518
2019-07-08,-0.00640574469769653,-0.005480967999259472
2019-07-09,0.003480027446002119,0.001352346343049241
2019-07-10,0.01125676149269856,0.008520930586095515
2019-07-11,-0.003217162661066297,0.00035302962176990275
2019-07-12,0.005704799160007189,0.007045246635672409
2019-07-15,0.0013494812463611793,0.00037424713355288747
2019-07-16,-0.006089413149717324,-0.004293219040829713
2019-07-17,0.003257721790725301,0.0035222141992306355
2019-07-18,0.006900505740091023,0.0064068761450816495
2019-07-19,-0.00999820789561931,-0.008277372807963082
2019-07-22,0.0035741249673892205,0.0007198886259746038
2019-07-23,0.0017280244014438143,0.0014552687548914996
2019-07-24,0.005781625960210413,0.002071458678552715
2019-07-25,-0.0075770593650947935,-0.005724722535389672
2019-07-26,0.00611689475662788,0.002423251401068408
2019-07-29,0.0009094265244649301,0.0028898968011674513
2019-07-30,-0.0008761828430813301,0.0011540559171255365
2019-07-31,-0.012965350101827693,-0.012971199485173961
2019-08-01,0.005875545584687895,0.004998504246460846
2019-08-02,-0.008860671188365886,-0.0046145451379873475
2019-08-05,-0.014112416253119282,-0.008927323505762298
2019-08-06,0.011532661335833805,0.008668348810414847
2019-08-07,0.010704190088433981,0.014458305192007833
2019-08-08,0.011429931057249447,0.006477620733342198
2019-08-09,-0.004983437202623426,-0.002682145177091223
2019-08-12,-0.0014726093306677828,-0.00013531497708997651
2019-08-13,0.005108982161383003,0.0009059420609106167
2019-08-14,-0.012952761917973886,-0.004019909165747012
2019-08-15,0.003569908276701999,0.004404723265006412
2019-08-16,0.005251995249667597,0.0004976985363446124
2019-08-19,0.0018710055081040062,-0.004378748927542359
2019-08-20,-0.00032261073253682295,0.005021095794009404
2019-08-21,0.0032198500951848533,0.0014997557502732966
2019-08-22,-0.0027688298211094404,-0.00224985166697331
2019-08-23,-0.005891849850006918,0.005725572220973221
2019-08-26,0.008132912424201928,0.006452952924385667
2019-08-27,0.005292205812627181,0.012375529948633454
2019-08-28,0.004065761579483662,0.004316869622221728
2019-08-29,0.002352019976526513,-0.0010513561726960886
2019-08-30,-0.0006091644464124655,0.0007677933507603835
2019-09-03,0.00907700008647841,0.016790125908344812
2019-09-04,0.011310224609581575,0.014744494703048793
2019-09-05,-0.0024412648143408715,-0.027385175951399242
2019-09-06,-0.004889137643839201,-0.015384396141629933
2019-09-09,-0.0023260718881100116,-0.0022453191413454665
2019-09-10,-0.004502009497758736,-0.0028889242358436764
2019-09-11,0.007593328785463508,0.006702922747177827
2019-09-12,0.0035646890561997577,0.0008872935746293807
2019-09-13,-0.004545074234190509,-0.014695392005963648
2019-09-16,0.0006025081781952911,0.010237024331730396
2019-09-17,0.0030705649174547983,0.0034995821211472296
2019-09-18,-0.003964284458971979,-0.008063969970048792
2019-09-19,0.0010379183962041763,0.0024187504450353487
2019-09-20,0.0008437682208253744,0.006013858218333749
2019-09-23,0.002366011936423029,0.01603016055273416
2019-09-24,-0.007955549420935713,-0.0006007573682000111
2019-09-25,-0.003054064572025913,-0.020609491375627804
2019-09-26,-0.002002513751714853,-0.0015992010870620817
2019-09-27,-0.008095496890582572,-0.009291332706505425
2019-09-30,-0.0015253584340628222,-0.014254274651294191
2019-10-01,-0.003510171153435939,0.003466766319498246
2019-10-02,-0.005746540475597817,0.005520522018755532
2019-10-03,0.007399852707821845,0.0031292855286055997
2019-10-04,0.008069267658327913,0.003278725174518588
2019-10-07,-0.005063614263268283,-0.006570022963805291
2019-10-08,-0.0047596210842531655,0.006601060693562502
2019-10-09,0.005781581535987805,0.0022512464245122428
2019-10-10,0.0009587627027429777,-0.006897446630305226
2019-10-11,0.005077608095481993,0.00046681248349505393
2019-10-14,0.0012997354491514183,0.003957691745827782
2019-10-15,0.004411344836823773,-0.005155001193259093
2019-10-16,0.0008871977661536962,0.0016110295581687343
2019-10-17,0.002216348118806731,0.00394642630050069
2019-10-18,-0.00514804970468665,-0.0016262672552864168
2019-10-21,0.0029765377124190756,0.00020857849871378886
2019-10-22,-0.002679810871700915,-0.000556538322289994
2019-10-23,0.0022959907213125188,0.0021836711329965047
2019-10-24,0.00697760746568186,0.0077378537820500075
2019-10-25,0.005041086871963658,0.00626116510454678
2019-10-28,0.002101446166135965,-0.0050540029261308935
2019-10-29,-0.00536915228699306,-0.0017819604163831799
2019-10-30,0.004893428628579109,0.004435108742011474
2019-10-31,0.0020650407793442065,0.005625091136297821
2019-11-01,0.007491857724880396,0.0037667249524500493
2019-11-04,0.002850983915070206,-0.000622293946262195
2019-11-05,-0.004948303028405882,-0.01246045623672682
2019-11-06,0.0004942302485074388,0.002039668250496656
2019-11-07,-0.0032547041048122363,-0.009328735417672082
2019-11-08,-0.003741054108336711,-0.005026700118708726
2019-11-11,-0.0029451316166832567,-0.0014433227391902502
2019-11-12,-7.369590523389363e-05,0.0012760083716518169
2019-11-13,-9.551432591876502e-05,0.0026021952779814697
2019-11-14,0.0012687342712679904,0.0027176344219279895
2019-11-15,0.00325058838299379,0.0020562189016791257
2019-11-18,0.0014518901893841943,0.0020813492387891453
2019-11-19,0.0015031496255534763,0.0009913278885048987
2019-11-20,-0.0029572077098339476,-0.0016522027265185415
2019-11-21,-0.0027974245425560285,-0.0035172666180468505
2019-11-22,-0.0009085276864938858,-0.0009811299794974658
2019-11-25,0.00460283406072302,0.0010338919110617747
2019-11-26,0.0017857362276621407,0.004973411839070036
2019-11-27,0.001281691122425785,-0.0011126291523568747
2019-11-29,-0.001739371241763298,0.0015104360017716603
2019-12-02,-0.00424163926400284,-0.00566777327523473
2019-12-03,-3.192116696565427e-05,0.0034551408525662166
2019-12-04,0.003182921952187279,-0.0015236687256469498
2019-12-05,0.002049523403738188,0.0018862888010351684
2019-12-06,0.0009861271169946686,-0.0020950873350350802
2019-12-09,-0.0026907303133142007,-0.002002274681719323
2019-12-10,0.0012448722100821695,0.0012954014930562905
2019-12-11,0.007637976166876892,0.006541265340984326
2019-12-12,0.004421461846837721,0.0029024901560723852
2019-12-13,0.0027162241609405705,0.0033276533581155345
2019-12-16,0.005616959994740111,0.004897571229481057
2019-12-17,0.001895965814095746,0.00036423831745379103
2019-12-18,0.001593847754568552,0.000552007366503223
2019-12-19,0.0034647791102323,0.00400448923301332
2019-12-20,0.0020941890992988,0.0020035569791462876
2019-12-23,-0.0010785046386765597,0.003373776188354208
2019-12-24,0.003769097076254711,0.006121443113540463
2019-12-26,0.008331541037483405,0.008014881655800063
2019-12-27,-0.00014485941440087058,-0.0011607572666349796
2019-12-30,-0.002785544281340831,-0.0011659617692889135
2019-12-31,0.0020778341148202347,0.0014743171752080186
2020-01-02,0.01521714303240981,0.009325409972425435
2020-01-03,-0.00299254744708426,0.001853933091459532
2020-01-06,0.005474064234747309,0.0066789883638496686
2020-01-07,0.0014085034513695604,0.000967401304584301
2020-01-08,0.0006895378739009872,-0.002042818963736456
2020-01-09,0.0019660353352454847,0.00038497767299269325
2020-01-10,0.002817377954220059,0.0011572201103295235
2020-01-13,0.0046083733909190305,0.0008914360440148123
2020-01-14,-0.002857035076935239,-0.001528586686606789
2020-01-15,0.0011404442087574172,0.0032249322489089184
2020-01-16,0.004131588487218232,0.004418516619161414
2020-01-17,0.004004974392422073,0.002894915733172347
2020-01-21,-0.005027076414543709,-0.00048453826926927904
2020-01-22,0.0023994291595246246,0.000499791725905355
2020-01-23,0.00035697031527652415,0.0018428575640890871
2020-01-24,-0.0025534345651070404,-0.0029665493751711088
2020-01-27,-0.012141458857975056,-0.007764946132830759
2020-01-28,0.004032367941218092,0.003152151363519068
2020-01-29,0.0024474545994906376,0.002401789998629088
2020-01-30,0.002070397521250121,0.002309394321201397
2020-01-31,-0.007840258719003752,-0.0075899956264083804
2020-02-03,0.004189724244141347,0.00335645421216248
2020-02-04,0.006325428052696342,0.006263578917032549
2020-02-05,0.0041201669434459956,0.003707715106234097
2020-02-06,0.006277085087588726,0.0065748842339755685
2020-02-07,-0.0017392743602422378,-0.0017962160546874412
2020-02-10,0.00735261886689182,0.0072918734738030375
2020-02-11,-0.0009549414836884496,-0.0011156697333388967
