date,price,returns,regime,signal,kama,kama_filter,Regime_0,Regime_1,Regime_2,Regime_3
1998-08-24,1370.92,-0.0028043970901583393,1,0.0,1387.753258814993,3.5726243563930007,0.0,1.0,0.0,0.0
1998-08-25,1388.35,0.012633944371099659,1,0.0,1387.7977547892954,3.60727381320637,0.0,1.0,0.0,0.0
1998-08-26,1374.05,-0.010353408440614054,3,-1.0,1387.5341416495244,3.4494654827927587,0.0,0.0,0.0,1.0
1998-08-27,1312.28,-0.045996500853565436,3,-1.0,1386.0204711852155,3.423749575155627,0.0,0.0,0.0,1.0
1998-08-28,1265.04,-0.03666234015345626,3,-1.0,1379.8370504010084,3.4835481577600573,0.0,0.0,0.0,1.0
1998-08-31,1140.34,-0.10377727867886755,3,-1.0,1324.5327599588861,12.367110023570696,0.0,0.0,0.0,1.0
1998-09-01,1215.06,0.06346699473521777,3,-1.0,1309.7784034629597,12.445314646298467,0.0,0.0,0.0,1.0
1998-09-02,1221.44,0.00523703228545358,3,-1.0,1299.0006431103764,12.506617732474586,0.0,0.0,0.0,1.0
1998-09-03,1208.96,-0.010270004683775369,3,-1.0,1287.3639860182375,12.549036092555006,0.0,0.0,0.0,1.0
1998-09-04,1205.41,-0.0029407278572302076,3,-1.0,1277.7316681562372,12.53148652914247,0.0,0.0,0.0,1.0
1998-09-08,1286.47,0.0650822753512621,3,-1.0,1278.012098417128,12.57494054395876,0.0,0.0,0.0,1.0
1998-09-09,1261.77,-0.01938653627178155,3,-1.0,1277.1261155432933,12.611598790516297,0.0,0.0,0.0,1.0
1998-09-10,1235.37,-0.021144976761225287,3,-1.0,1274.6222581148268,12.577331417049994,0.0,0.0,0.0,1.0
1998-09-11,1290.2,0.04342672476402676,3,-1.0,1274.7589355405278,12.645769653183615,0.0,0.0,0.0,1.0
1998-09-14,1308.23,0.013877833439383203,3,-1.0,1275.2856392680087,12.70457463876301,0.0,0.0,0.0,1.0
1998-09-15,1324.19,0.012125873195360626,3,-1.0,1283.6080653863607,13.028029134735403,0.0,0.0,0.0,1.0
