date,price,returns,regime,signal,kama,kama_filter,Regime_0,Regime_1,Regime_2,Regime_3
1990-01-02,359.69,,,,359.69,,,,,
1990-01-03,358.76,-0.002588908120090494,,0.0,359.63,,,,,
1990-01-04,355.67,-0.008650306588847911,,0.0,359.37451612903226,,,,,
1990-01-05,352.2,-0.009804138598848766,,0.0,358.9116441207076,,,,,
1990-01-08,353.79,0.004504320707883203,,0.0,358.58121546775874,,,,,
1990-01-09,349.62,-0.01185666638695082,,0.0,358.00307253435494,,,,,
1990-01-10,347.31,-0.0066290974972913475,,0.0,357.3131968869772,,,,,
1990-01-11,348.53,0.00350655682365808,,0.0,356.74653902330124,,,,,
1990-01-12,339.93,-0.02498459564881994,,0.0,355.66160102179794,,,,,
1990-01-15,337.0,-0.008656783708222981,,0.0,354.4576267623271,,,,,
1990-01-16,340.75,0.011066140224280652,,0.0,352.0367567009739,,,,,
1990-01-17,337.4,-0.009879900464774494,,0.0,349.23465077938937,,,,,
1990-01-18,338.19,0.002338697612682239,,0.0,347.5409386799535,,,,,
1990-01-19,339.15,0.002834619667538618,,0.0,346.6306789934088,,,,,
1990-01-22,330.38,-0.02619898026509393,,0.0,343.38293208627,,,,,
1990-01-23,331.61,0.003716072494878375,,0.0,341.64399954457645,,,,,
1990-01-24,330.26,-0.004079356587030958,,0.0,340.0337247209721,,,,,
1990-01-25,326.08,-0.012737473000481891,,0.0,337.3204209076779,,,,,
1990-01-26,325.8,-0.0008590538664154934,,0.0,335.7184318776719,,,,,
1990-01-29,325.2,-0.0018433184942887593,,0.0,334.4606206389367,,,,,
1990-01-30,322.98,-0.006849975872735392,1,0.0,331.4105717290975,0.6916901938761348,0.0,1.0,0.0,0.0
1990-01-31,329.08,0.01871048049980928,1,0.0,331.2605539758072,0.6872752977904214,0.0,1.0,0.0,0.0
1990-02-01,328.79,-0.0008816332065126886,1,0.0,331.0635497973547,0.6898833729558904,0.0,1.0,0.0,0.0
1990-02-02,330.92,0.006457405227765278,1,0.0,331.05478867166545,0.7094402698753176,0.0,1.0,0.0,0.0
1990-02-05,331.85,0.002806405269951462,1,0.0,331.06447305031855,0.7244150485273961,0.0,1.0,0.0,0.0
1990-02-06,329.66,-0.006621239288723935,1,0.0,331.0434165161659,0.7451855542801907,0.0,1.0,0.0,0.0
1990-02-07,333.75,0.01233038941124942,1,0.0,331.1091541350744,0.7713227047464603,0.0,1.0,0.0,0.0
1990-02-08,332.96,-0.0023698470691346785,1,0.0,331.2498049717396,0.7964432630968388,0.0,1.0,0.0,0.0
1990-02-09,333.62,0.0019802580805849956,1,0.0,331.4630613623444,0.8296550223449897,0.0,1.0,0.0,0.0
1990-02-12,330.08,-0.010667571402968257,1,0.0,331.4117512124304,0.849254326473242,0.0,1.0,0.0,0.0
1990-02-13,331.02,0.0028437471894529054,1,0.0,331.3792512397068,0.8394719310788626,0.0,1.0,0.0,0.0
1990-02-14,332.01,0.002986292432408888,1,0.0,331.39772095066223,0.8013954635605637,0.0,1.0,0.0,0.0
1990-02-15,334.89,0.008637030749947705,1,0.0,331.6273498625972,0.8082808208828021,0.0,1.0,0.0,0.0
1990-02-16,332.72,-0.006500824260094795,1,0.0,331.6433543894953,0.8178409883959109,0.0,1.0,0.0,0.0
1990-02-20,327.99,-0.014318175320153337,1,0.0,331.5430937383462,0.7113227877004663,0.0,1.0,0.0,0.0
1990-02-21,327.67,-0.0009761157472105708,1,0.0,331.4861252841651,0.6897746528166909,0.0,1.0,0.0,0.0
1990-02-22,325.7,-0.006030292085104527,1,0.0,330.89446951260135,0.6658014481890211,0.0,1.0,0.0,0.0
1990-02-23,324.15,-0.004770340661183425,1,0.0,330.14603841630174,0.5560647764175606,0.0,1.0,0.0,0.0
1990-02-26,328.67,0.013847836249921919,1,0.0,330.0923256442502,0.5183172972411328,0.0,1.0,0.0,0.0
1990-02-27,330.26,0.004826015163915898,1,0.0,330.09313602300864,0.4940352060106006,0.0,1.0,0.0,0.0
1990-02-28,331.89,0.004923365680086889,1,0.0,330.10703688268507,0.16299394768983924,0.0,1.0,0.0,0.0
1990-03-01,332.74,0.002557815516667894,1,0.0,330.1257514091055,0.16286860378175838,0.0,1.0,0.0,0.0
1990-03-02,335.54,0.008379770110657603,1,0.0,330.1623367838992,0.1617808957469914,0.0,1.0,0.0,0.0
1990-03-05,333.74,-0.005378927623497454,1,0.0,330.1931085034836,0.16212761934345812,0.0,1.0,0.0,0.0
1990-03-06,337.93,0.012476526724256587,1,0.0,331.12244128604567,0.22250698844927366,0.0,1.0,0.0,0.0
1990-03-07,336.95,-0.0029042220507875527,0,1.0,331.71883729891977,0.24101249113676862,1.0,0.0,0.0,0.0
1990-03-08,340.27,0.009804868720451054,0,1.0,333.39085322003336,0.352063405131413,1.0,0.0,0.0,0.0
1990-03-09,337.93,-0.006900646669663502,0,1.0,334.1537461702483,0.3664523174923444,1.0,0.0,0.0,0.0
1990-03-12,338.67,0.0021874084985515907,0,1.0,334.74564390088636,0.37300005546291276,1.0,0.0,0.0,0.0
1990-03-13,336.0,-0.007915021978361025,0,1.0,334.81007111756156,0.3717137789533474,1.0,0.0,0.0,0.0
1990-03-14,336.87,0.002585939289352801,0,1.0,334.901232440945,0.37047903665018617,1.0,0.0,0.0,0.0
1990-03-15,338.07,0.0035558753798108356,0,1.0,335.0518325240249,0.3696054400436152,1.0,0.0,0.0,0.0
1990-03-16,341.91,0.011294569903386176,0,1.0,335.44444131402065,0.3710167302910972,1.0,0.0,0.0,0.0
